group,ID,original,quiescent_current,current_slope
RSAM,RSAM51,True,0.005110293813049794,9.510270240411321e-05
RSAM,RSAM52,True,0.00294760288670659,0.00013634237868454335
RSAM,RSAM53,True,0.005237099900841714,9.593957000970985e-05
RSAM,RSAM54,True,0.0052728733979165564,9.524007706557685e-05
RSAM,RSAM55,True,0.005349427089095116,9.486947125534016e-05
RSAM,RSAM56,True,0.0052226541563868524,9.461493710334718e-05
RSAM,RSAM57,True,0.005272608995437622,9.51771080364911e-05
RSAM,RSAM58,True,0.005306490417569877,9.339956562186046e-05
RSAM,RSAM59,True,0.0052913246676325795,9.399625714914064e-05
RSAM,RSAM60,True,0.005296375323086978,9.3286692327493e-05
RSAM,RSAM61,True,0.005351779237389563,9.557119365991944e-05
RSAM,RSAM62,True,0.0053496434353292,9.554580746227817e-05
RSAM,RSAM63,True,0.0053281736560165886,9.668081915217426e-05
RSAM,RSAM64,True,0.005338339041918519,9.428521364925342e-05
RSAM,RSAM65,True,0.00522774849087,9.323898940649307e-05
RSAM,RSAM66,True,0.005336141400039196,9.298581756221226e-05
RSAM,RSAM67,True,0.005237485934048892,9.353541613476496e-05
RSAM,RSAM68,True,0.00535096749663353,9.481630056720481e-05
RSAM,RSAM69,True,0.005281299073249102,9.390289740591313e-05
RSAM,RSAM70,True,0.00533543089404702,9.281624480038889e-05
RSAM,RSAM71,True,0.0054448829032480725,9.379014738541704e-05
RSAM,RSAM72,True,0.005376336816698314,9.205597195103766e-05
RSAM,RSAM73,True,0.005448416434228422,9.484308985666071e-05
RSAM,RSAM74,True,0.005465679336339238,9.19335685360053e-05
RSAM,RSAM75,True,0.005425167828798294,9.31905897375108e-05
RSAM,RSAM76,True,0.005419861711561678,9.336575944663934e-05
RSAM,RSAM77,True,0.00537372026592493,9.335738660751238e-05
RSAM,RSAM78,True,0.005389200896024704,9.372525528201199e-05
RSAM,RSAM79,True,0.005428354628384114,9.375601872140542e-05
RSAM,RSAM80,True,0.00529371201992035,9.426137764821816e-05
RSAM,RSAM81,True,0.00540963066741824,9.299828758363981e-05
RSAM,RSAM82,True,0.005195880960673097,9.510006953308149e-05
RSAM,RSAM83,True,0.00528389047831297,9.604497159260297e-05
RSAM,RSAM84,True,0.005449585523456338,9.620905250358266e-05
RSAM,RSAM85,True,0.005395128484815358,9.454102121491828e-05
RSAM,RSAM86,True,0.0053355759009718895,9.449168081732397e-05
RSAM,RSAM87,True,0.005375306960195302,9.520548702487917e-05
RSAM,RSAM88,True,0.005381360277533532,9.358078966574948e-05
RSAM,RSAM89,True,0.005349012278020382,9.342456141133816e-05
RSAM,RSAM90,True,0.0053219456225633635,9.336507747898208e-05
RSAM,RSAM91,True,0.005457768216729164,9.37658769025076e-05
RSAM,RSAM92,True,0.0053221680223941815,9.247448979942648e-05
RSAM,RSAM93,True,0.005363319721072913,9.28332900234833e-05
RSAM,RSAM94,True,0.0054995837621390825,9.145958656010706e-05
RSAM,RSAM95,True,0.0054598100483417514,9.257356483895107e-05
UTC_CD,UTC_CD01,False,0.004410439729690552,6.848581365257002e-05
UTC_CD,UTC_CD02,False,0.004394228663295507,6.874419705962833e-05
UTC_CD,UTC_CD03,False,0.00439825039356947,6.660108502066151e-05
UTC_CD,UTC_CD04,False,0.0043749201111495505,6.825336070831784e-05
UTC_CD,UTC_CD05,False,0.004506532941013576,6.692767847288835e-05
UTC_CD,UTC_CD06,False,0.00450061997398734,6.631130308890331e-05
UTC_CD,UTC_CD07,False,0.00449516549706459,6.681452888729022e-05
UTC_CD,UTC_CD08,False,0.004490565322339536,6.727150888072497e-05
UTC_CD,UTC_CD09,False,0.00447585368528962,6.770884023318191e-05
UTC_CD,UTC_CD10,False,0.004546693898737431,6.494612391334235e-05
UTC_CD,UTC_CD11,False,0.0046521413139998915,6.51309409156533e-05
UTC_CD,UTC_CD12,False,0.00467873914167285,6.40749941770667e-05
UTC_CD,UTC_CD13,False,0.004642403870821,6.482785348245055e-05
UTC_CD,UTC_CD14,False,0.00465859053656459,6.524449888438815e-05
UTC_CD,UTC_CD15,False,0.004682795144617558,6.430283271552468e-05
UTC_CD,UTC_CD16,False,0.004689410235732794,6.42118023122046e-05
UTC_CD,UTC_CD17,False,0.004678775183856488,6.317173459900632e-05
UTC_CD,UTC_CD18,False,0.004707169625908137,6.296671878208406e-05
UTC_CD,UTC_CD19,False,0.00466564716771245,6.418406456021326e-05
UTC_CD,UTC_CD20,False,0.0046749494038522245,6.34434389237408e-05
